"YEAR","DISASTER","INJURED","DEATH"
"2531","Landslide","0","242"
"2532","Flood","5495","602"
"2532","Storm","9","22"
"2532","Conflagration","208","63"
"2533","Flood","19","50"
"2533","Storm","118","126"
"2533","Conflagration","293","154"
"2534","Flood","26","43"
"2534","Storm","55","43"
"2534","Conflagration","168","78"
"2535","Flood","0","16"
"2535","Storm","50","90"
"2535","Conflagration","138","103"
"2536","Flood","254","47"
"2536","Storm","31","19"
"2536","Conflagration","833","270"
"2537","Flood","12","46"
"2537","Storm","46","8"
"2537","Conflagration","147","99"
"2538","Flood","11","442"
"2538","Storm","51","14"
"2538","Conflagration","153","79"
"2539","Flood","21","158"
"2539","Storm","42","73"
"2539","Conflagration","155","105"
"2540","Flood","427","98"
"2540","Storm","66","48"
"2540","Conflagration","261","217"
"2541","Flood","3","8"
"2541","Storm","70","90"
"2541","Conflagration","100","29"
"2542","Flood","30","53"
"2542","Storm","55","38"
"2542","Conflagration","0","27"
"2543","Flood","0","120"
"2543","Storm","81","9"
"2543","Conflagration","91","46"
"2543","Landslide","0","53"
"2544","Flood","68","244"
"2544","Storm","19","6"
"2544","Conflagration","148","15"
"2544","Landslide","109","136"
"2545","Flood","0","216"
"2545","Storm","11","18"
"2545","Conflagration","150","24"
"2546","Flood","10","44"
"2546","Storm","434","74"
"2546","Conflagration","167","56"
"2547","Flood","3","28"
"2547","Storm","63","73"
"2547","Conflagration","69","31"
"2547","Landslide","391","5"
"2548","Flood","0","75"
"2548","Storm","0","13"
"2548","Conflagration","68","48"
"2549","Flood","1462","446"
"2549","Storm","39","29"
"2549","Conflagration","66","37"
"2549","Landslide","0","83"
"2550","Flood","17","36"
"2550","Storm","71","10"
"2550","Conflagration","156","45"
"2550","Landslide","0","6"
"2551","Flood","16","113"
"2551","Storm","30","15"
"2551","Conflagration","92","30"
"2551","Landslide","0","2"
"2552","Flood","22","53"
"2552","Storm","26","24"
"2552","Conflagration","312","83"
"2552","Landslide","0","14"
