"YEAR","DISASTER","INJURED","DEATH"
"2532","Conflagration","208","63"
"2533","Conflagration","293","154"
"2534","Conflagration","168","78"
"2535","Conflagration","138","103"
"2536","Conflagration","833","270"
"2537","Conflagration","147","99"
"2538","Conflagration","153","79"
"2539","Conflagration","155","105"
"2540","Conflagration","261","217"
"2541","Conflagration","100","29"
"2542","Conflagration","0","27"
"2543","Conflagration","91","46"
"2544","Conflagration","148","15"
"2545","Conflagration","150","24"
"2546","Conflagration","167","56"
"2547","Conflagration","69","31"
"2548","Conflagration","68","48"
"2549","Conflagration","66","37"
"2550","Conflagration","156","45"
"2551","Conflagration","92","30"
"2552","Conflagration","312","83"
"","","",""
