"YEAR","DISASTER","INJURED","DEATH","DAMAGED"
"2531","Landslide","0","242","1000"
"2532","Flood","5495","602","11739.56"
"2532","Storm","9","22","14.06"
"2532","Conflagration","208","63","671.45"
"2533","Flood","19","50","6652.23"
"2533","Storm","118","126","172.02"
"2533","Conflagration","293","154","1490.27"
"2534","Flood","26","43","4562.31"
"2534","Storm","55","43","75.85"
"2534","Conflagration","168","78","2127.63"
"2535","Flood","0","16","5240.58"
"2535","Storm","50","90","193.06"
"2535","Conflagration","138","103","1094.21"
"2536","Flood","254","47","2181.61"
"2536","Storm","31","19","204.43"
"2536","Conflagration","833","270","1751.33"
"2537","Flood","12","46","5058.88"
"2537","Storm","46","8","120.28"
"2537","Conflagration","147","99","711.23"
"2538","Flood","11","442","6123.52"
"2538","Storm","51","14","100.41"
"2538","Conflagration","153","79","3038.95"
"2539","Flood","21","158","7160.68"
"2539","Storm","42","73","335.9"
"2539","Conflagration","155","105","2528.4"
"2540","Flood","427","98","3842.22"
"2540","Storm","66","48","518.64"
"2540","Conflagration","261","217","2340.96"
"2541","Flood","3","8","1706.03"
"2541","Storm","70","90","371.44"
"2541","Conflagration","100","29","2347.61"
"2542","Flood","30","53","1381.64"
"2542","Storm","55","38","192.22"
"2542","Conflagration","0","27","544.51"
"2543","Flood","0","120","10032.94"
"2543","Storm","81","9","271.48"
"2543","Conflagration","91","46","1250.65"
"2543","Landslide","0","53","100"
"2544","Flood","68","244","3666.29"
"2544","Storm","19","6","501.02"
"2544","Conflagration","148","15","1529.28"
"2544","Landslide","109","136","645"
"2545","Flood","0","216","13385.32"
"2545","Storm","11","18","213.34"
"2545","Conflagration","150","24","805.81"
"2546","Flood","10","44","2050.26"
"2546","Storm","434","74","457.43"
"2546","Conflagration","167","56","565.54"
"2547","Flood","3","28","850.65"
"2547","Storm","63","73","398.41"
"2547","Conflagration","69","31","487.02"
"2547","Landslide","391","5","0"
"2548","Flood","0","75","5982.28"
"2548","Storm","0","13","148.87"
"2548","Conflagration","68","48","931.91"
"2549","Flood","1462","446","9627.41"
"2549","Storm","39","29","92.24"
"2549","Conflagration","66","37","1083.84"
"2549","Landslide","0","83","308"
"2550","Flood","17","36","1687.86"
"2550","Storm","71","10","234.54"
"2550","Conflagration","156","45","875.79"
"2550","Landslide","0","6","0"
"2551","Flood","16","113","7601.79"
"2551","Storm","30","15","227.54"
"2551","Conflagration","92","30","1424.89"
"2551","Landslide","0","2","0"
"2552","Flood","22","53","5252.61"
"2552","Storm","26","24","207.37"
"2552","Conflagration","312","83","817.33"
"2552","Landslide","0","14","0"
