"YEAR","DISASTER","INJURED","DEATH","DAMAGED"
"2532","Storm","9","22","14.06"
"2533","Storm","118","126","172.02"
"2534","Storm","55","43","75.85"
"2535","Storm","50","90","193.06"
"2536","Storm","31","19","204.43"
"2537","Storm","46","8","120.28"
"2538","Storm","51","14","100.41"
"2539","Storm","42","73","335.9"
"2540","Storm","66","48","518.64"
"2541","Storm","70","90","371.44"
"2542","Storm","55","38","192.22"
"2543","Storm","81","9","271.48"
"2544","Storm","19","6","501.02"
"2545","Storm","11","18","213.34"
"2546","Storm","434","74","457.43"
"2547","Storm","63","73","398.41"
"2548","Storm","0","13","148.87"
"2549","Storm","39","29","92.24"
"2550","Storm","71","10","234.54"
"2551","Storm","30","15","227.54"
"2552","Storm","26","24","207.37"
