"YEAR","DISASTER","INJURED","DEATH","DAMAGED"
"2532","Flood","5495","602","11739.56"
"2533","Flood","19","50","6652.23"
"2534","Flood","26","43","4562.31"
"2535","Flood","0","16","5240.58"
"2536","Flood","254","47","2181.61"
"2537","Flood","12","46","5058.88"
"2538","Flood","11","442","6123.52"
"2539","Flood","21","158","7160.68"
"2540","Flood","427","98","3842.22"
"2541","Flood","3","8","1706.03"
"2542","Flood","30","53","1381.64"
"2543","Flood","0","120","10032.94"
"2544","Flood","68","244","3666.29"
"2545","Flood","0","216","13385.32"
"2546","Flood","10","44","2050.26"
"2547","Flood","3","28","850.65"
"2548","Flood","0","75","5982.28"
"2549","Flood","1462","446","9627.41"
"2550","Flood","17","36","1687.86"
"2551","Flood","16","113","7601.79"
"2552","Flood","22","53","5252.61"
