"YEAR","DISASTER","INJURED","DEATH"
"2532","Storm","9","22"
"2533","Storm","118","126"
"2534","Storm","55","43"
"2535","Storm","50","90"
"2536","Storm","31","19"
"2537","Storm","46","8"
"2538","Storm","51","14"
"2539","Storm","42","73"
"2540","Storm","66","48"
"2541","Storm","70","90"
"2542","Storm","55","38"
"2543","Storm","81","9"
"2544","Storm","19","6"
"2545","Storm","11","18"
"2546","Storm","434","74"
"2547","Storm","63","73"
"2548","Storm","0","13"
"2549","Storm","39","29"
"2550","Storm","71","10"
"2551","Storm","30","15"
"2552","Storm","26","24"
"","","",""
